value,method
11.25139,normal
11.169971,normal
11.091454,normal
11.015431,normal
11.167109,normal
11.573003,normal
11.564857,normal
11.498676,normal
11.406985,normal
11.314653,normal
11.221249,normal
11.136179,normal
11.060084,normal
10.990907,normal
11.38745,normal
11.56139,normal
11.528677,normal
11.459384,normal
11.376784,normal
11.28063,normal
11.185697,normal
11.098557,normal
11.020656,normal
11.144078,normal
11.53042,normal
11.536774,normal
11.479758,normal
11.405723,normal
11.324328,normal
11.237613,normal
11.143806,normal
11.056899,normal
10.992907,normal
11.423286,normal
11.55143,normal
11.517642,normal
11.453252,normal
11.377348,normal
11.297413,normal
11.21444,normal
11.131469,normal
11.049686,normal
11.010042,normal
11.485221,normal
11.547453,normal
11.503734,normal
11.437177,normal
11.362306,normal
11.282046,normal
11.199322,normal
11.117848,normal
11.04131,normal
11.017885,normal
11.53701,normal
11.582027,normal
11.524632,normal
11.445753,normal
11.369701,normal
11.290583,normal
11.208866,normal
11.128096,normal
11.050192,normal
10.99757,normal
11.497924,normal
11.589477,normal
11.531784,normal
11.450502,normal
11.361797,normal
11.28077,normal
11.200397,normal
11.121596,normal
11.045437,normal
11.013761,normal
11.520491,normal
11.586149,normal
11.536399,normal
11.451988,normal
11.360911,normal
11.270849,normal
11.18368,normal
11.106827,normal
11.031586,normal
11.059887,normal
11.540143,normal
11.573783,normal
11.524717,normal
11.451844,normal
11.364792,normal
11.268972,normal
11.175229,normal
11.086595,normal
11.009137,normal
11.205349,normal
11.532478,normal
11.525561,normal
11.46652,normal
11.389343,normal
11.305435,normal
11.220604,normal
11.133122,normal
11.044834,normal
11.029393,normal
11.480314,normal
11.529732,normal
11.485638,normal
11.414729,normal
11.338119,normal
11.255726,normal
11.171715,normal
11.091157,normal
11.012649,normal
11.205726,normal
11.548049,normal
11.523789,normal
11.458502,normal
11.384007,normal
11.305073,normal
11.222906,normal
11.143233,normal
11.063759,normal
10.990511,normal
11.381373,normal
11.576178,normal
11.531511,normal
11.451784,normal
11.366608,normal
11.28726,normal
11.206018,normal
11.127135,normal
11.051378,normal
10.997234,normal
11.474562,normal
11.578188,normal
11.535796,normal
11.454793,normal
11.362756,normal
11.270586,normal
11.182794,normal
11.102622,normal
11.029494,normal
11.076806,normal
11.554888,normal
11.57531,normal
11.524795,normal
11.44772,normal
11.350681,normal
11.255808,normal
11.163717,normal
11.081287,normal
11.007894,normal
11.238934,normal
11.5545,normal
11.542016,normal
11.480034,normal
11.40342,normal
11.321367,normal
11.225195,normal
11.132535,normal
11.04636,normal
11.019599,normal
11.475441,normal
11.538036,normal
11.493714,normal
11.422358,normal
11.344322,normal
11.26156,normal
11.179292,normal
11.090938,normal
11.008429,normal
11.215338,normal
11.518847,normal
11.508603,normal
11.449616,normal
11.376936,normal
11.297325,normal
11.215357,normal
11.133664,normal
11.055316,normal
10.992128,normal
11.448899,normal
11.570745,normal
11.52142,normal
11.449481,normal
11.374136,normal
11.295093,normal
11.214641,normal
11.135874,normal
11.057647,normal
10.992521,normal
11.442186,normal
11.593378,normal
11.54275,normal
11.461201,normal
11.372503,normal
11.289742,normal
11.210705,normal
11.132429,normal
11.056243,normal
10.990548,normal
11.445705,normal
11.606814,normal
11.572905,normal
11.502662,normal
11.411183,normal
11.316886,normal
11.224905,normal
11.14233,normal
11.065297,normal
10.9953,normal
11.333585,normal
11.56828,normal
11.544649,normal
11.479401,normal
11.402153,normal
11.309821,normal
11.215326,normal
11.122695,normal
11.038535,normal
11.036838,normal
11.500599,normal
11.547174,normal
11.501634,normal
11.43051,normal
11.35112,normal
11.267526,normal
11.181294,normal
11.089719,normal
11.008361,normal
11.230539,normal
11.524162,normal
11.512741,normal
11.452758,normal
11.379233,normal
11.301405,normal
11.219295,normal
11.136999,normal
11.059693,normal
10.990707,normal
11.438602,normal
11.586723,normal
11.538247,normal
11.464025,normal
11.387413,normal
11.310828,normal
11.231278,normal
11.152062,normal
11.073267,normal
10.999192,normal
11.318922,normal
11.60619,normal
11.571114,normal
11.491294,normal
11.402473,normal
11.314312,normal
11.232703,normal
11.152036,normal
11.07464,normal
11.001843,normal
11.294576,normal
11.598827,normal
11.579574,normal
11.514628,normal
11.425458,normal
11.330217,normal
11.234499,normal
11.144961,normal
11.067005,normal
10.995658,normal
11.347097,normal
11.568075,normal
11.542204,normal
11.477061,normal
11.398882,normal
11.309706,normal
11.210527,normal
11.117635,normal
11.033032,normal
11.0802,normal
11.510006,normal
11.534794,normal
11.482992,normal
11.40986,normal
11.327866,normal
11.241276,normal
11.155485,normal
11.066762,normal
10.993521,normal
11.418462,normal
11.531087,normal
11.406409,normal
11.423992,normal
11.34466,normal
11.261868,normal
11.175328,normal
11.093015,normal
11.014535,normal
11.196628,normal
11.595326,normal
11.574319,normal
11.501399,normal
11.416392,normal
11.335137,normal
11.255543,normal
11.17571,normal
11.096739,normal
11.022305,normal
11.134931,normal
11.582313,normal
11.580281,normal
11.508621,normal
11.419997,normal
11.327945,normal
11.241198,normal
11.160537,normal
11.084908,normal
11.012962,normal
11.19206,normal
11.582679,normal
11.576366,normal
11.518884,normal
11.434908,normal
11.340906,normal
11.248255,normal
11.15983,normal
11.082671,normal
11.013842,normal
11.175421,normal
11.555817,normal
11.557917,normal
11.501381,normal
11.427464,normal
11.345916,normal
11.250057,normal
11.157256,normal
11.072158,normal
10.995364,normal
11.343177,normal
11.543441,normal
11.518381,normal
11.453315,normal
11.376344,normal
11.294431,normal
11.211746,normal
11.123118,normal
11.036468,normal
11.057439,normal
11.483764,normal
11.518106,normal
11.469738,normal
11.39984,normal
11.32329,normal
11.243447,normal
11.160764,normal
11.0808,normal
11.005473,normal
11.255632,normal
11.580471,normal
11.549546,normal
11.479713,normal
11.408649,normal
11.333761,normal
11.255857,normal
11.17598,normal
11.098581,normal
11.024133,normal
11.100059,normal
11.575743,normal
11.577415,normal
11.511857,normal
11.429095,normal
11.342833,normal
11.263802,normal
11.183517,normal
11.10643,normal
11.033845,normal
11.056449,normal
11.555615,normal
11.585495,normal
11.528512,normal
11.442807,normal
11.353161,normal
11.261186,normal
11.176872,normal
11.099732,normal
11.02657,normal
11.08957,normal
11.547821,normal
11.567976,normal
11.5162,normal
11.444046,normal
11.359804,normal
11.264553,normal
11.169441,normal
11.082436,normal
11.006182,normal
11.232388,normal
11.560467,normal
11.551809,normal
11.494776,normal
11.421719,normal
11.341693,normal
11.255682,normal
11.168266,normal
11.078343,normal
10.996952,normal
11.305383,normal
11.534564,normal
11.516803,normal
11.455919,normal
11.382125,normal
11.3031,normal
11.218142,normal
11.13766,normal
11.059897,normal
10.98864,normal
11.407149,normal
11.580374,normal
11.536936,normal
11.467243,normal
11.3952,normal
11.317914,normal
11.239101,normal
11.159295,normal
11.081664,normal
11.00865,normal
11.224437,normal
11.586743,normal
11.559483,normal
11.487783,normal
11.406294,normal
11.326969,normal
11.247472,normal
11.169132,normal
11.091901,normal
11.018794,normal
11.152246,normal
11.582759,normal
11.572023,normal
11.497272,normal
11.407637,normal
11.317561,normal
11.233506,normal
11.152346,normal
11.076935,normal
11.002723,normal
11.287139,normal
11.587083,normal
11.566816,normal
11.503365,normal
11.418092,normal
11.320915,normal
11.227457,normal
11.137172,normal
11.057139,normal
10.990719,normal
11.416009,normal
11.563562,normal
11.529264,normal
11.460086,normal
11.380408,normal
11.286768,normal
11.188884,normal
11.09861,normal
11.016374,normal
11.166901,normal
11.542923,normal
11.544499,normal
11.487578,normal
11.413759,normal
11.332579,normal
11.248714,normal
11.162777,normal
11.076227,normal
10.991767,normal
11.330273,normal
11.52996,normal
11.500066,normal
11.435318,normal
11.360187,normal
11.281125,normal
11.198855,normal
11.118076,normal
11.041719,normal
11.019496,normal
11.524533,normal
11.574764,normal
11.514887,normal
11.436537,normal
11.355728,normal
11.273644,normal
11.193589,normal
11.115261,normal
11.039612,normal
11.023579,normal
11.553385,normal
11.60601,normal
11.54393,normal
11.45678,normal
11.365312,normal
11.275844,normal
11.193964,normal
11.113599,normal
11.039896,normal
11.014265,normal
11.517552,normal
11.580325,normal
11.532568,normal
11.455951,normal
11.358691,normal
11.265755,normal
11.174066,normal
11.092716,normal
11.019469,normal
11.146408,normal
11.539576,normal
11.54291,normal
11.484768,normal
11.408628,normal
11.324679,normal
11.227109,normal
11.133052,normal
11.048281,normal
11.015126,normal
11.468029,normal
11.535498,normal
11.491447,normal
11.419594,normal
11.340981,normal
11.256943,normal
11.171313,normal
11.079618,normal
10.994348,normal
11.313507,normal
11.524803,normal
11.500594,normal
11.436785,normal
11.361894,normal
11.28285,normal
11.200147,normal
11.120257,normal
11.043933,normal
11.020358,normal
11.511992,normal
11.556083,normal
11.495666,normal
11.414576,normal
11.337389,normal
11.259666,normal
11.181349,normal
11.103544,normal
11.02809,normal
11.087315,normal
11.576962,normal
11.593029,normal
11.523979,normal
11.436343,normal
11.345244,normal
11.257248,normal
11.179099,normal
11.102924,normal
11.031644,normal
11.061593,normal
11.548029,normal
11.576327,normal
11.524744,normal
11.450052,normal
11.355407,normal
11.261473,normal
11.170163,normal
11.088364,normal
11.019501,normal
11.137825,normal
11.533867,normal
11.542096,normal
11.484945,normal
11.410438,normal
11.329289,normal
11.23874,normal
11.144281,normal
11.05853,normal
10.993295,normal
11.422737,normal
11.547333,normal
11.510818,normal
11.446629,normal
11.367932,normal
11.282925,normal
11.19746,normal
11.113654,normal
11.026948,normal
11.110889,normal
11.494528,normal
11.502437,normal
11.446023,normal
11.374185,normal
11.293852,normal
11.211569,normal
11.129678,normal
11.05137,normal
10.999942,normal
11.471542,normal
11.55587,normal
11.497313,normal
11.420234,normal
11.343302,normal
11.265093,normal
11.186875,normal
11.107811,normal
11.03372,normal
11.051427,normal
11.557194,normal
11.582531,normal
11.517581,normal
11.432682,normal
11.343254,normal
11.26053,normal
11.183405,normal
11.1085,normal
11.036049,normal
11.028727,normal
11.532046,normal
11.578636,normal
11.529762,normal
11.448524,normal
11.356209,normal
11.263309,normal
11.177488,normal
11.099228,normal
11.02868,normal
11.084198,normal
11.526194,normal
11.547803,normal
11.494069,normal
11.421716,normal
11.336321,normal
11.24135,normal
11.148697,normal
11.064645,normal
10.993043,normal
11.342073,normal
11.537256,normal
11.510632,normal
11.445769,normal
11.36999,normal
11.287066,normal
11.203781,normal
11.113827,normal
11.028724,normal
11.101777,normal
11.497313,normal
11.516608,normal
11.464617,normal
11.394748,normal
11.31846,normal
11.238336,normal
11.159591,normal
11.082395,normal
11.004715,normal
11.26074,normal
11.568092,normal
11.540288,normal
11.479236,normal
11.41151,normal
11.337127,normal
11.261716,normal
11.18159,normal
11.103031,normal
11.028104,normal
11.086551,normal
11.541513,normal
11.540067,normal
11.469464,normal
11.389292,normal
11.311961,normal
11.235167,normal
11.157791,normal
11.082835,normal
11.009512,normal
11.214625,normal
11.593737,normal
