act_time,pH,Density,CNN-VAE,DTW,Engineer,LSTM-AE
2020-03-16 9:19,11.754425,,,,,
2020-03-16 9:24,11.605258,,,,,
2020-03-16 9:29,11.480376,11.480376,,,,
2020-03-16 9:34,11.357503,11.357503,,,,
2020-03-16 9:39,11.22704,11.22704,11.22704,,,
2020-03-16 9:44,11.082226,11.082226,11.082226,,,
2020-03-16 9:49,11.219127,11.219127,11.219127,,,
2020-03-16 9:54,11.587719,11.587719,11.587719,,,
2020-03-16 9:59,11.548483,11.548483,11.548483,,,
2020-03-16 10:04,11.471409,11.471409,11.471409,,,
2020-03-16 10:09,11.365235,11.365235,11.365235,,,
2020-03-16 10:14,11.234097,11.234097,11.234097,,,
2020-03-16 10:19,11.10231,11.10231,11.10231,,,
2020-03-16 10:24,11.093847,11.093847,11.093847,,,
2020-03-16 10:29,11.599481,,11.599481,,,
2020-03-16 10:34,11.56338,,11.56338,,,
2020-03-16 10:39,11.476035,,11.476035,11.476035,,
2020-03-16 10:44,11.375743,,11.375743,11.375743,,
2020-03-16 10:49,11.255815,,11.255815,11.255815,,
2020-03-16 10:54,11.115712,,11.115712,11.115712,,
2020-03-16 10:59,11.070614,,11.070614,11.070614,,
2020-03-16 11:04,11.567783,,11.567783,11.567783,,
2020-03-16 11:09,11.539485,,11.539485,11.539485,,
2020-03-16 11:14,11.451811,,11.451811,11.451811,,
2020-03-16 11:19,11.33869,,11.33869,11.33869,,
2020-03-16 11:24,11.199019,,11.199019,11.199019,,
2020-03-16 11:29,11.037656,,11.037656,11.037656,,
2020-03-16 11:34,11.3738,,11.3738,11.3738,,
2020-03-16 11:39,11.598323,,,,,
2020-03-16 11:44,11.535268,,,,,
2020-03-16 11:49,11.42936,,,,,
2020-03-16 11:54,11.284185,,,,,
2020-03-16 11:59,11.142077,,,,,
2020-03-16 12:04,11.002483,,,,,
2020-03-16 12:09,11.53215,,,,,
2020-03-16 12:14,11.570482,,,,,
2020-03-16 12:19,11.479721,,,,,
2020-03-16 12:24,11.364691,,,,,
2020-03-16 12:29,11.229014,,,,,
2020-03-16 12:34,11.073554,,,,,
2020-03-16 12:39,11.232782,,,,,
2020-03-16 12:44,11.599462,,,,,
2020-03-16 12:49,11.540856,,,,,
2020-03-16 12:54,11.432667,,,,,
2020-03-16 12:59,11.284033,,,,,
2020-03-16 13:04,11.137198,,,,,
2020-03-16 13:09,11.002401,,,,,
2020-03-16 13:14,11.517305,,,,,
2020-03-16 13:19,11.553158,,,,,
2020-03-16 13:24,11.450094,,,,,
2020-03-16 13:29,11.327557,,,,,
2020-03-16 13:34,11.186775,,,,,
2020-03-16 13:39,11.046175,,,,,
2020-03-16 13:44,11.285925,,,,,
2020-03-16 13:49,11.574554,,,,,
2020-03-16 13:54,11.507156,,,,,
2020-03-16 13:59,11.392289,,,,,
2020-03-16 14:04,11.250093,,,,,
2020-03-16 14:09,11.095797,,,,,
2020-03-16 14:14,11.058865,,,,,
2020-03-16 14:19,11.577221,,,,,
2020-03-16 14:24,11.54404,,,,,
2020-03-16 14:29,11.427328,,,,,
2020-03-16 14:34,11.286065,,,,,
2020-03-16 14:39,11.151214,,,,,
2020-03-16 14:44,11.019665,,,,,
2020-03-16 14:49,11.389071,,,,,
2020-03-16 14:54,11.560129,,,,,
2020-03-16 14:59,11.453046,,,,,
2020-03-16 15:04,11.324811,,,,,
2020-03-16 15:09,11.190001,,,,,
2020-03-16 15:14,11.053964,,,,,
2020-03-16 15:19,11.209657,,,,,
2020-03-16 15:24,11.561942,,,,,
2020-03-16 15:29,11.493883,,,,,
2020-03-16 15:34,11.37395,,,,,
2020-03-16 15:39,11.223087,,,,,
2020-03-16 15:44,11.086523,,,,,
2020-03-16 15:49,11.056189,,,,,
2020-03-16 15:54,11.567723,,,,,
2020-03-16 15:59,11.535805,,,,,
2020-03-16 16:04,11.413156,,,,,
2020-03-16 16:09,11.276331,,,,,
2020-03-16 16:14,11.140925,,,,,
2020-03-16 16:19,11.012715,,,,,
2020-03-16 16:24,11.378225,,,,,
2020-03-16 16:29,11.512918,,,,,
2020-03-16 16:34,11.419412,,,,,
2020-03-16 16:39,11.290932,,,,,
2020-03-16 16:44,11.156178,,,,,
2020-03-16 16:49,11.019634,,,,,
2020-03-16 16:54,11.358734,,,,,
2020-03-16 16:59,11.547267,,,,,
2020-03-16 17:04,11.459536,,,,,
2020-03-16 17:09,11.33163,,,,,
2020-03-16 17:14,11.183249,,,,,
2020-03-16 17:19,11.053726,,,,,
2020-03-16 17:24,11.164803,,,,,
2020-03-16 17:29,11.562705,,,,,
2020-03-16 17:34,11.49038,,,,,
2020-03-16 17:39,11.351375,,,,,
2020-03-16 17:44,11.215507,,,,,
2020-03-16 17:49,11.089621,,,,11.089621,
2020-03-16 17:54,11.02394,,,,11.02394,
2020-03-16 18:04,11.508753,,,,,
2020-03-16 18:09,11.397437,,,,,
2020-03-16 18:14,11.273092,,,,,
2020-03-16 18:19,11.144764,,,,,
2020-03-16 18:24,11.023195,,,,,
2020-03-16 18:29,11.320665,,,,,
2020-03-16 18:34,11.550574,,,,,
2020-03-16 18:39,11.461414,,,,,
2020-03-16 18:44,11.333415,,,,,
2020-03-16 18:49,11.188948,,,,,
2020-03-16 18:54,11.059315,,,,,
2020-03-16 18:59,11.132107,,,,,
2020-03-16 19:04,11.560035,,,,,
2020-03-16 19:09,11.490514,,,,,
2020-03-16 19:14,11.350804,,,,,
2020-03-16 19:19,11.21666,,,,,
2020-03-16 19:24,11.091722,,,,,
2020-03-16 19:29,11.010582,,,,,
2020-03-16 19:34,11.515354,,,,,
2020-03-16 19:39,11.491611,,,,,
2020-03-16 19:44,11.380291,,,,,
2020-03-16 19:49,11.251364,,,,,
2020-03-16 19:54,11.124604,,,,,
2020-03-16 19:59,11.008966,,,,,
2020-03-16 20:04,11.374428,,,,,
2020-03-16 20:09,11.519655,,,,,
2020-03-16 20:14,11.42133,,,,,
2020-03-16 20:19,11.293787,,,,,
2020-03-16 20:24,11.16156,,,,,
2020-03-16 20:29,11.037197,,,,,
2020-03-16 20:34,11.228915,,,,,
2020-03-16 20:39,11.536684,,,,,
2020-03-16 20:44,11.449186,,,,,
2020-03-16 20:49,11.30512,,,,,
2020-03-16 20:54,11.171338,,,,,
2020-03-16 20:59,11.054251,,,,,
2020-03-16 21:04,11.149578,,,,,
2020-03-16 21:09,11.531076,,,,,
2020-03-16 21:14,11.449018,,,,,
2020-03-16 21:19,11.324919,,,,,
2020-03-16 21:24,11.1955,,,,,
2020-03-16 21:29,11.070561,,,,,
2020-03-16 21:34,11.096477,,,,,
2020-03-16 21:39,11.532384,,,,,
2020-03-16 21:44,11.472175,,,,,
