value,method
11.346252,normal
11.314773,normal
11.285193,normal
11.256031,normal
11.229534,normal
11.201948,normal
11.176504,normal
11.152039,normal
11.12656,normal
11.102514,normal
11.080098,normal
11.059398,normal
11.038319,normal
11.019362,normal
11.000293,normal
11.148184,normal
11.266521,normal
11.281483,normal
11.25701,normal
11.229145,normal
11.202367,normal
11.178042,normal
11.153249,normal
11.12922,normal
11.107966,normal
11.087027,normal
11.06594,normal
11.045862,normal
11.02729,normal
11.008278,normal
11.04299,normal
11.213179,normal
11.266359,normal
11.24695,normal
11.221502,normal
11.196895,normal
11.171662,normal
11.144975,normal
11.120146,normal
11.097118,normal
11.073576,normal
11.051633,normal
11.03047,normal
11.009102,normal
11.0679,normal
11.258509,normal
11.302611,normal
11.28184,normal
11.253015,normal
11.223542,normal
11.197456,normal
11.169814,normal
11.145624,normal
11.122082,normal
11.099302,normal
11.077571,normal
11.056724,normal
11.035725,normal
11.014658,normal
11.004015,normal
11.187844,normal
11.27439,normal
11.269951,normal
11.243588,normal
11.217773,normal
11.192508,normal
11.168284,normal
11.143913,normal
11.121218,normal
11.099736,normal
11.079613,normal
11.058999,normal
11.04001,normal
11.021064,normal
11.003134,normal
11.082017,normal
11.229712,normal
11.241136,normal
11.215544,normal
11.188722,normal
11.162501,normal
11.136231,normal
11.109335,normal
11.085576,normal
11.062137,normal
11.036829,normal
11.013945,normal
11.027508,normal
11.207482,normal
11.280395,normal
11.267546,normal
11.239095,normal
11.210198,normal
11.181932,normal
11.156165,normal
11.130231,normal
11.10589,normal
11.082816,normal
11.061658,normal
11.03971,normal
11.019239,normal
10.999201,normal
11.14684,normal
11.25263,normal
11.248136,normal
11.222126,normal
11.196354,normal
11.170646,normal
11.146023,normal
11.122548,normal
11.099991,normal
11.078987,normal
11.057171,normal
11.036795,normal
11.016878,normal
10.9988,normal
11.169929,normal
11.286599,normal
11.275268,normal
11.244683,normal
11.21575,normal
11.186203,normal
11.157664,normal
11.129649,normal
11.102953,normal
11.076099,normal
11.051633,normal
11.027032,normal
11.005375,normal
11.087322,normal
11.297187,normal
11.324691,normal
11.295367,normal
11.263085,normal
11.23081,normal
11.201738,normal
11.172106,normal
11.145846,normal
11.119988,normal
11.09499,normal
11.071384,normal
11.04874,normal
11.027069,normal
11.005903,normal
11.098045,normal
11.245128,normal
11.261721,normal
11.233673,normal
11.206408,normal
11.179534,normal
11.152738,normal
11.127766,normal
11.104466,normal
11.081138,normal
11.060162,normal
11.038179,normal
11.018558,normal
10.998367,normal
11.164796,normal
11.279154,normal
11.282522,normal
11.255838,normal
11.228019,normal
11.200778,normal
11.1752,normal
11.14935,normal
11.125605,normal
11.100118,normal
11.074531,normal
11.053117,normal
11.0307,normal
11.008385,normal
11.066784,normal
11.255545,normal
11.285414,normal
11.257655,normal
11.224528,normal
11.18975,normal
11.156794,normal
11.127306,normal
11.099118,normal
11.073217,normal
11.047835,normal
11.023074,normal
11.000315,normal
11.152699,normal
11.291325,normal
11.303422,normal
11.273822,normal
11.240621,normal
11.209267,normal
11.178966,normal
11.149637,normal
11.122018,normal
11.095829,normal
11.071202,normal
11.048536,normal
11.025981,normal
11.004112,normal
11.12043,normal
11.280738,normal
11.305841,normal
11.276591,normal
11.246198,normal
11.214864,normal
11.186069,normal
11.158496,normal
11.1321,normal
11.107453,normal
11.083883,normal
11.062016,normal
11.03959,normal
11.018858,normal
10.999118,normal
11.18792,normal
11.265848,normal
11.261429,normal
11.234519,normal
11.20575,normal
11.177141,normal
11.148189,normal
11.121387,normal
11.094773,normal
11.067845,normal
11.043003,normal
11.018441,normal
10.996086,normal
11.238174,normal
11.356579,normal
11.350044,normal
11.316208,normal
11.279523,normal
11.244797,normal
11.212181,normal
11.181074,normal
11.151953,normal
11.123783,normal
11.097721,normal
11.072232,normal
11.048497,normal
11.025564,normal
11.003189,normal
11.141508,normal
11.266143,normal
11.276543,normal
11.248068,normal
11.218946,normal
11.188981,normal
11.161444,normal
11.135085,normal
11.109902,normal
11.08453,normal
11.061477,normal
11.038497,normal
11.017001,normal
10.997877,normal
11.192843,normal
11.300182,normal
11.289375,normal
11.260256,normal
11.228211,normal
11.194812,normal
11.165544,normal
11.136803,normal
11.107256,normal
11.079284,normal
11.053834,normal
11.028492,normal
11.00314,normal
11.134049,normal
11.293772,normal
11.311245,normal
11.280173,normal
11.245085,normal
11.211992,normal
11.180765,normal
11.151878,normal
11.124493,normal
11.097395,normal
11.07234,normal
11.04832,normal
11.024352,normal
11.00219,normal
11.131829,normal
11.287343,normal
11.29798,normal
11.268442,normal
11.237218,normal
11.207307,normal
11.177495,normal
11.148975,normal
11.122418,normal
11.097794,normal
11.073493,normal
11.049601,normal
11.027515,normal
11.005944,normal
11.095571,normal
11.287646,normal
11.318131,normal
11.286239,normal
11.254338,normal
11.220674,normal
11.184936,normal
11.15395,normal
11.123611,normal
11.094814,normal
11.068073,normal
11.042492,normal
11.017615,normal
11.008043,normal
11.24225,normal
11.332337,normal
11.317285,normal
11.282836,normal
11.24893,normal
11.216269,normal
11.18471,normal
11.155781,normal
11.127376,normal
11.101343,normal
11.076227,normal
11.053363,normal
11.029064,normal
11.008223,normal
11.07526,normal
11.247924,normal
11.286054,normal
11.259515,normal
11.229108,normal
11.198827,normal
11.170281,normal
11.142806,normal
11.118379,normal
11.094356,normal
11.071347,normal
11.048804,normal
11.026939,normal
11.005897,normal
11.081355,normal
11.261569,normal
11.288494,normal
11.259125,normal
11.22835,normal
11.195063,normal
11.163288,normal
11.133363,normal
11.103519,normal
11.074607,normal
11.048076,normal
11.023741,normal
10.999587,normal
11.177374,normal
11.29941,normal
11.296727,normal
11.263871,normal
11.230034,normal
11.198833,normal
11.168239,normal
11.138577,normal
11.11163,normal
11.084398,normal
11.057899,normal
11.034256,normal
11.011216,normal
11.056501,normal
11.240226,normal
11.304306,normal
11.282894,normal
11.250736,normal
11.220123,normal
11.189961,normal
11.16144,normal
11.134015,normal
11.107037,normal
11.082054,normal
11.05828,normal
11.034145,normal
11.011352,normal
11.048379,normal
11.228725,normal
11.294177,normal
11.268263,normal
11.233379,normal
11.20016,normal
11.169466,normal
11.136863,normal
11.106416,normal
11.078856,normal
11.04966,normal
11.022254,normal
10.99766,normal
11.208179,normal
11.302456,normal
11.295629,normal
11.261299,normal
11.226046,normal
11.19358,normal
11.16275,normal
11.132441,normal
11.103627,normal
11.077277,normal
11.052134,normal
11.02734,normal
11.003785,normal
11.124722,normal
11.288248,normal
11.307761,normal
11.276806,normal
11.242773,normal
11.210139,normal
11.180255,normal
11.150943,normal
11.122901,normal
11.096608,normal
11.072715,normal
11.049852,normal
11.026205,normal
11.004217,normal
11.126872,normal
11.286834,normal
11.303609,normal
11.274105,normal
11.242631,normal
11.212657,normal
11.184122,normal
11.15655,normal
11.130461,normal
11.105206,normal
