act_time,pH,Engineer,DTW,Density,LSTM-AE,CNN-AE
2020-02-25 21:24,11.166943,,,11.166943,,
2020-02-25 21:29,11.155588,,,11.155588,,
2020-02-25 21:34,11.098702,,,11.098702,,
2020-02-25 21:39,11.042426,,,11.042426,,
2020-02-25 21:44,10.989156,,,10.989156,,
2020-02-25 21:49,11.028996,,,11.028996,,
2020-02-25 21:54,11.169515,,,11.169515,,
2020-02-25 21:59,11.140151,,,11.140151,,
2020-02-25 22:04,11.084133,,,11.084133,,
2020-02-25 22:09,11.032972,,,11.032972,,
2020-02-25 22:14,10.985748,,,,,
2020-02-25 22:19,11.038123,,,,,
2020-02-25 22:24,11.172678,,,,,
2020-02-25 22:29,11.150368,,,,,
2020-02-25 22:34,11.09778,,,,,
2020-02-25 22:39,11.045543,,,,,
2020-02-25 22:44,10.996307,,,,,
2020-02-25 22:49,11.002296,,,,,
2020-02-25 22:54,11.154781,,,,,
2020-02-25 22:59,11.15398,,,,,
2020-02-25 23:04,11.103569,,,,,
2020-02-25 23:09,11.052075,,,,,
2020-02-25 23:14,11.002833,,,,,
2020-02-25 23:19,10.987095,,,,,
2020-02-25 23:24,11.136934,,,,,
2020-02-25 23:29,11.154093,,,,,
2020-02-25 23:34,11.105664,,,,,
2020-02-25 23:39,11.054312,,,,,
2020-02-25 23:44,11.007198,,,,,
2020-02-25 23:49,10.979971,,,,,
2020-02-25 23:54,11.123817,,,,,
2020-02-25 23:59,11.154742,,,,,
2020-02-26 0:04,11.109177,,,,,
2020-02-26 0:09,11.05869,,,,,
2020-02-26 0:14,11.011715,,,,,
2020-02-26 0:19,10.977943,,,,,
2020-02-26 0:24,11.108317,,,,,
2020-02-26 0:29,11.156899,,,,,
2020-02-26 0:34,11.113612,,,,,
2020-02-26 0:39,11.063906,,,,,
2020-02-26 0:44,11.0165,,,,,
2020-02-26 0:49,10.974207,,,,,
2020-02-26 0:54,11.076324,,,,,
2020-02-26 0:59,11.161078,,,,,
2020-02-26 1:04,11.128661,,,,,
2020-02-26 1:09,11.081673,,,,,11.081673
2020-02-26 1:14,11.03511,,,,,11.03511
2020-02-26 1:19,10.991735,,,,,10.991735
2020-02-26 1:24,11.005848,,,,,11.005848
2020-02-26 1:29,11.139511,,,,,11.139511
2020-02-26 1:34,11.137897,,,,,11.137897
2020-02-26 1:39,11.093089,,,,,11.093089
2020-02-26 1:44,11.046777,,,,11.046777,11.046777
2020-02-26 1:49,11.00167,,,,11.00167,11.00167
2020-02-26 1:54,10.987275,,,,10.987275,10.987275
2020-02-26 1:59,11.118403,,,,11.118403,11.118403
2020-02-26 2:04,11.1394,,,,11.1394,11.1394
2020-02-26 2:09,11.097112,,,,11.097112,11.097112
2020-02-26 2:14,11.050615,,,,11.050615,11.050615
2020-02-26 2:19,11.00643,,,,11.00643,11.00643
2020-02-26 2:24,10.982464,,,,10.982464,10.982464
2020-02-26 2:29,11.103748,,,,11.103748,11.103748
2020-02-26 2:34,11.134659,,,,11.134659,11.134659
2020-02-26 2:39,11.097201,,,,11.097201,11.097201
2020-02-26 2:44,11.053005,,,,11.053005,11.053005
2020-02-26 2:49,11.010319,,,,,11.010319
2020-02-26 2:54,10.978782,,,,,10.978782
2020-02-26 2:59,11.089686,,,,,11.089686
2020-02-26 3:04,11.129832,,,,,11.129832
2020-02-26 3:09,11.091782,,,,,
2020-02-26 3:14,11.047568,,,,,
2020-02-26 3:19,11.003513,,,,,
