act_time,pH,Density,LSTM-AE,DTW,CNN-AE,Engineer
2020-04-21 10:19,11.73584,,,,,
2020-04-21 10:24,11.697628,,,,,
2020-04-21 10:29,11.649067,,,,,
2020-04-21 10:34,11.59277,11.59277,,,,
2020-04-21 10:39,11.548494,11.548494,,,11.548494,
2020-04-21 10:44,11.501331,11.501331,11.501331,,11.501331,
2020-04-21 10:49,11.452381,11.452381,11.452381,,11.452381,
2020-04-21 10:54,11.40116,11.40116,11.40116,,11.40116,
2020-04-21 10:59,11.347634,11.347634,11.347634,,11.347634,
2020-04-21 11:04,11.290662,11.290662,11.290662,11.290662,11.290662,
2020-04-21 11:09,11.230568,11.230568,11.230568,11.230568,11.230568,
2020-04-21 11:14,11.166596,11.166596,11.166596,11.166596,11.166596,
2020-04-21 11:19,11.099712,11.099712,11.099712,11.099712,11.099712,
2020-04-21 11:24,11.028476,11.028476,11.028476,11.028476,11.028476,
2020-04-21 11:29,11.230223,11.230223,11.230223,11.230223,11.230223,
2020-04-21 11:34,11.441031,,11.441031,11.441031,11.441031,
2020-04-21 11:39,11.421061,,11.421061,11.421061,11.421061,
2020-04-21 11:44,11.373022,,,11.373022,11.373022,
2020-04-21 11:49,11.325415,,,11.325415,11.325415,
2020-04-21 11:54,11.274836,,,11.274836,11.274836,
2020-04-21 11:59,11.21936,,,11.21936,11.21936,
2020-04-21 12:04,11.15946,,,,11.15946,
2020-04-21 12:09,11.097526,,,,11.097526,
2020-04-21 12:14,11.031556,,,,11.031556,
2020-04-21 12:19,11.199574,,,,11.199574,
2020-04-21 12:24,11.446166,,,,11.446166,
2020-04-21 12:29,11.438375,,,,11.438375,
2020-04-21 12:34,11.395925,,,,11.395925,
2020-04-21 12:39,11.352413,,,,,
2020-04-21 12:44,11.306585,,,,,
2020-04-21 12:49,11.25631,,,,,
2020-04-21 12:54,11.203018,,,,,
2020-04-21 12:59,11.146182,,,,,
2020-04-21 13:04,11.086514,,,,,
2020-04-21 13:09,11.023069,,,,,
2020-04-21 13:14,11.229435,,,,,
2020-04-21 13:19,11.429728,,,,,
2020-04-21 13:24,11.419039,,,,,
2020-04-21 13:29,11.380735,,,,,
2020-04-21 13:34,11.339134,,,,,
2020-04-21 13:39,11.293462,,,,,
2020-04-21 13:44,11.244216,,,,,
2020-04-21 13:49,11.191513,,,,,
2020-04-21 13:54,11.135856,,,,,
2020-04-21 13:59,11.07578,,,,,
2020-04-21 14:04,11.013721,,,,,
2020-04-21 14:09,11.293684,,,,,
2020-04-21 14:14,11.446817,,,,,
2020-04-21 14:19,11.435425,,,,,
2020-04-21 14:24,11.4007,,,,,
2020-04-21 14:29,11.351854,,,,,
2020-04-21 14:34,11.29191,,,,,
2020-04-21 14:39,11.241171,,,,,
2020-04-21 14:44,11.188696,,,,,
2020-04-21 14:49,11.136185,,,,,
2020-04-21 14:54,11.080401,,,,,
2020-04-21 14:59,11.022642,,,,,
2020-04-21 15:04,11.224254,,,,,
2020-04-21 15:09,11.423167,,,,,
2020-04-21 15:14,11.408101,,,,,
2020-04-21 15:19,11.364952,,,,,
2020-04-21 15:24,11.323404,,,,,
2020-04-21 15:29,11.278954,,,,,
2020-04-21 15:34,11.231406,,,,,
2020-04-21 15:39,11.183116,,,,,
2020-04-21 15:44,11.133227,,,,,
2020-04-21 15:49,11.08061,,,,,
2020-04-21 15:54,11.027608,,,,,
2020-04-21 15:59,11.167233,,,,,
2020-04-21 16:04,11.416505,,,,,
2020-04-21 16:09,11.413187,,,,,
2020-04-21 16:14,11.375415,,,,,
2020-04-21 16:19,11.334567,,,,,
2020-04-21 16:24,11.292162,,,,,
2020-04-21 16:29,11.246397,,,,,
2020-04-21 16:34,11.198202,,,,,
2020-04-21 16:39,11.148925,,,,,
2020-04-21 16:44,11.096007,,,,,
2020-04-21 16:49,11.041784,,,,,
2020-04-21 16:54,11.045507,,,,,
2020-04-21 16:59,11.422676,,,,,
2020-04-21 17:04,11.418679,,,,,
2020-04-21 17:09,11.38375,,,,,
2020-04-21 17:14,11.343311,,,,,
2020-04-21 17:19,11.300392,,,,,
2020-04-21 17:24,11.255044,,,,,
2020-04-21 17:29,11.206594,,,,,
2020-04-21 17:34,11.155189,,,,,
2020-04-21 17:39,11.101185,,,,,
2020-04-21 17:44,11.047596,,,,,
2020-04-21 17:49,11.015002,,,,,
2020-04-21 17:54,11.400557,,,,,
2020-04-21 17:59,11.415928,,,,,
2020-04-21 18:04,11.380693,,,,,
2020-04-21 18:09,11.337608,,,,,
2020-04-21 18:14,11.29178,,,,,
2020-04-21 18:19,11.245025,,,,,
2020-04-21 18:24,11.194541,,,,,11.194541
2020-04-21 18:29,11.142009,,,,,11.142009
2020-04-21 18:39,11.033109,,,,,11.033109
2020-04-21 18:44,11.131658,,,,,
2020-04-21 18:49,11.388308,,,,,
2020-04-21 18:54,11.391853,,,,,
2020-04-21 18:59,11.35171,,,,,
2020-04-21 19:04,11.30814,,,,,
2020-04-21 19:09,11.261066,,,,,
2020-04-21 19:14,11.211725,,,,,
2020-04-21 19:19,11.160478,,,,,
2020-04-21 19:24,11.108843,,,,,
2020-04-21 19:29,11.055831,,,,,
2020-04-21 19:34,11.00609,,,,,
2020-04-21 19:39,11.307424,,,,,
2020-04-21 19:44,11.416568,,,,,
2020-04-21 19:49,11.41021,,,,,
2020-04-21 19:54,11.370563,,,,,
2020-04-21 19:59,11.3268,,,,,
2020-04-21 20:04,11.280643,,,,,
2020-04-21 20:09,11.231606,,,,,
2020-04-21 20:14,11.180961,,,,,
2020-04-21 20:19,11.129847,,,,,
2020-04-21 20:24,11.077843,,,,,
2020-04-21 20:29,11.027228,,,,,
2020-04-21 20:34,11.141724,,,,,
2020-04-21 20:39,11.434587,,,,,
2020-04-21 20:44,11.447854,,,,,
2020-04-21 20:49,11.418102,,,,,
2020-04-21 20:54,11.377372,,,,,
2020-04-21 20:59,11.333299,,,,,
2020-04-21 21:04,11.286597,,,,,
2020-04-21 21:09,11.238523,,,,,
2020-04-21 21:14,11.189037,,,,,
2020-04-21 21:19,11.139097,,,,,
2020-04-21 21:24,11.08825,,,,,
2020-04-21 21:29,11.03823,,,,,
2020-04-21 21:34,11.012295,,,,,
2020-04-21 21:39,11.406786,,,,,
2020-04-21 21:44,11.40939,,,,,
2020-04-21 21:49,11.382678,,,,,
2020-04-21 21:54,11.340632,,,,,
2020-04-21 21:59,11.296655,,,,,
2020-04-21 22:04,11.251716,,,,,
2020-04-21 22:09,11.204849,,,,,
2020-04-21 22:14,11.157477,,,,,
2020-04-21 22:19,11.109553,,,,,
2020-04-21 22:24,11.062424,,,,,
2020-04-21 22:29,11.015127,,,,,
2020-04-21 22:34,11.206555,,,,,
2020-04-21 22:39,11.398222,,,,,
